Week,Topic,Completed,Hours,Notes
1,Introduction to Signals & Systems,False,0,
2,Sampling & Aliasing,False,0,
3,Fourier Series & Discrete Fourier Transform (DFT),False,0,
4,FIR & IIR Filters,False,0,
5,FFT & STFT,False,0,
6,Spectrograms & Real-Time Analysis,False,0,
7,Audio & Speech Basics,False,0,
8,Audio Denoising & Feature Extraction,False,0,
9,Biomedical Signals (ECG & EEG) Preprocessing,False,0,
10,ML + Biomedical & Anomaly Detection,False,0,
11,Radar Signal Processing,False,0,
12,Modulation & Demodulation,True,0,
13,IoT Sensor Streams & Multirate Processing,True,0,
14,Embedded DSP & Hardware Constraints,True,0,
15,Financial Time Series & Kalman Filtering,True,0,
16,"Wavelets, ICA & Machine Learning for Signals",False,0,
